wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
M2	M2	600.0	1.2	14.918	14.269	13.336	12.888	25.998	23.237	20.443	18.907	3.586	-1.043	-	8.294	
K5	M0	900.0	1.7	14.918	14.269	13.336	12.888	26.03	23.284	20.447	18.829	3.573	-0.898	-	8.295	
M0	K5	900.0	1.7	14.918	14.269	13.336	12.888	26.03	23.284	20.447	18.829	3.573	-0.898	-	8.295	
K5	M4	1200.0	1.4	14.918	14.269	13.336	12.888	25.46	23.191	20.675	19.27	3.176	-0.781	-	8.296	
M4	K5	1200.0	1.4	14.918	14.269	13.336	12.888	25.46	23.191	20.675	19.27	3.176	-0.781	-	8.296	
M2	M4	1100.0	0.6	14.918	14.269	13.336	12.888	25.079	23.084	20.821	19.633	2.948	-0.877	-	8.302	
M4	M2	1100.0	0.6	14.918	14.269	13.336	12.888	25.079	23.084	20.821	19.633	2.948	-0.877	-	8.302	
K5	K5	700.0	2.0	14.918	14.269	13.336	12.888	26.429	23.354	20.305	18.538	3.847	-0.987	-	8.304	
M0	M2	800.0	1.4	14.918	14.269	13.336	12.888	25.911	23.258	20.502	18.962	3.496	-0.93	-	8.306	
M2	M0	800.0	1.4	14.918	14.269	13.336	12.888	25.911	23.258	20.502	18.962	3.496	-0.93	-	8.306	
K5	M2	800.0	1.7	14.918	14.269	13.336	12.888	25.994	23.294	20.478	18.87	3.535	-0.868	-	8.306	
M2	K5	800.0	1.7	14.918	14.269	13.336	12.888	25.994	23.294	20.478	18.87	3.535	-0.868	-	8.306	
K2	K2	1300.0	1.9	14.918	14.269	13.336	12.888	25.914	23.291	20.516	18.915	3.471	-0.809	-	8.306	
M0	M0	1200.0	1.3	14.918	14.269	13.336	12.888	25.68	23.217	20.596	19.145	3.338	-0.895	-	8.307	
M2	M2	700.0	1.1	14.918	14.269	13.336	12.888	25.852	23.225	20.521	19.045	3.474	-1.011	-	8.308	
K5	M4	900.0	1.6	14.918	14.269	13.336	12.888	25.799	23.262	20.564	19.037	3.399	-0.843	-	8.313	
M4	K5	900.0	1.6	14.918	14.269	13.336	12.888	25.799	23.262	20.564	19.037	3.399	-0.843	-	8.313	
M0	M4	1000.0	1.2	14.918	14.269	13.336	12.888	25.543	23.202	20.66	19.262	3.236	-0.861	-	8.314	
M4	M0	1000.0	1.2	14.918	14.269	13.336	12.888	25.543	23.202	20.66	19.262	3.236	-0.861	-	8.314	
K2	M4	800.0	2.0	14.918	14.269	13.336	12.888	26.093	23.332	20.464	18.797	3.586	-0.84	-	8.319	
M4	K2	800.0	2.0	14.918	14.269	13.336	12.888	26.093	23.332	20.464	18.797	3.586	-0.84	-	8.319	
K5	M2	600.0	1.9	14.918	14.269	13.336	12.888	26.332	23.359	20.365	18.634	3.762	-0.937	-	8.32	
M2	K5	600.0	1.9	14.918	14.269	13.336	12.888	26.332	23.359	20.365	18.634	3.762	-0.937	-	8.32	
M0	M2	600.0	1.6	14.918	14.269	13.336	12.888	26.249	23.326	20.39	18.728	3.721	-0.997	-	8.32	
M2	M0	600.0	1.6	14.918	14.269	13.336	12.888	26.249	23.326	20.39	18.728	3.721	-0.997	-	8.32	
M0	M0	900.0	1.5	14.918	14.269	13.336	12.888	26.018	23.287	20.484	18.912	3.561	-0.959	-	8.323	
M2	M2	1100.0	0.8	14.918	14.269	13.336	12.888	25.39	23.159	20.73	19.435	3.144	-0.924	-	8.326	
K5	K5	1100.0	1.7	14.918	14.269	13.336	12.888	25.967	23.3	20.519	18.937	3.507	-0.881	-	8.328	
K2	M0	1000.0	1.9	14.918	14.269	13.336	12.888	26.019	23.336	20.508	18.869	3.521	-0.8	-	8.33	
M0	K2	1000.0	1.9	14.918	14.269	13.336	12.888	26.019	23.336	20.508	18.869	3.521	-0.8	-	8.33	
K2	K5	1100.0	1.9	14.918	14.269	13.336	12.888	26.035	23.335	20.506	18.872	3.535	-0.828	-	8.334	
K5	K2	1100.0	1.9	14.918	14.269	13.336	12.888	26.035	23.335	20.506	18.872	3.535	-0.828	-	8.334	
M0	M2	700.0	1.5	14.918	14.269	13.336	12.888	26.102	23.315	20.469	18.868	3.608	-0.963	-	8.336	
M2	M0	700.0	1.5	14.918	14.269	13.336	12.888	26.102	23.315	20.469	18.868	3.608	-0.963	-	8.336	
K5	M2	700.0	1.8	14.918	14.269	13.336	12.888	26.185	23.349	20.444	18.775	3.648	-0.902	-	8.336	
M2	K5	700.0	1.8	14.918	14.269	13.336	12.888	26.185	23.349	20.444	18.775	3.648	-0.902	-	8.336	
K2	M2	1100.0	1.8	14.918	14.269	13.336	12.888	25.812	23.308	20.603	19.046	3.372	-0.76	-	8.34	
M2	K2	1100.0	1.8	14.918	14.269	13.336	12.888	25.812	23.308	20.603	19.046	3.372	-0.76	-	8.34	
M2	M4	1300.0	0.5	14.918	14.269	13.336	12.888	24.96	23.094	20.924	19.797	2.84	-0.854	-	8.341	
M4	M2	1300.0	0.5	14.918	14.269	13.336	12.888	24.96	23.094	20.924	19.797	2.84	-0.854	-	8.341	
M0	M2	1100.0	1.2	14.918	14.269	13.336	12.888	25.64	23.254	20.68	19.261	3.273	-0.868	-	8.356	
M2	M0	1100.0	1.2	14.918	14.269	13.336	12.888	25.64	23.254	20.68	19.261	3.273	-0.868	-	8.356	
K5	M2	1100.0	1.5	14.918	14.269	13.336	12.888	25.722	23.291	20.657	19.171	3.311	-0.803	-	8.358	
M2	K5	1100.0	1.5	14.918	14.269	13.336	12.888	25.722	23.291	20.657	19.171	3.311	-0.803	-	8.358	
K5	M0	800.0	1.8	14.918	14.269	13.336	12.888	26.255	23.374	20.447	18.768	3.686	-0.932	-	8.358	
M0	K5	800.0	1.8	14.918	14.269	13.336	12.888	26.255	23.374	20.447	18.768	3.686	-0.932	-	8.358	
M2	M2	1300.0	0.7	14.918	14.269	13.336	12.888	25.271	23.171	20.835	19.599	3.035	-0.898	-	8.366	
K5	K5	1300.0	1.6	14.918	14.269	13.336	12.888	25.848	23.316	20.625	19.104	3.395	-0.848	-	8.371	
K5	M0	600.0	2.0	14.918	14.269	13.336	12.888	26.593	23.438	20.332	18.531	3.914	-1.005	-	8.371	
M0	K5	600.0	2.0	14.918	14.269	13.336	12.888	26.593	23.438	20.332	18.531	3.914	-1.005	-	8.371	
K2	M4	1100.0	1.8	14.918	14.269	13.336	12.888	25.821	23.331	20.643	19.1	3.36	-0.772	-	8.371	
M4	K2	1100.0	1.8	14.918	14.269	13.336	12.888	25.821	23.331	20.643	19.1	3.36	-0.772	-	8.371	
K5	M4	800.0	1.7	14.918	14.269	13.336	12.888	26.024	23.353	20.565	18.977	3.511	-0.876	-	8.377	
M4	K5	800.0	1.7	14.918	14.269	13.336	12.888	26.024	23.353	20.565	18.977	3.511	-0.876	-	8.377	
K2	K5	1300.0	1.8	14.918	14.269	13.336	12.888	25.916	23.351	20.613	19.04	3.422	-0.794	-	8.377	
K5	K2	1300.0	1.8	14.918	14.269	13.336	12.888	25.916	23.351	20.613	19.04	3.422	-0.794	-	8.377	
K2	M2	1300.0	1.7	14.918	14.269	13.336	12.888	25.693	23.324	20.709	19.213	3.259	-0.728	-	8.382	
M2	K2	1300.0	1.7	14.918	14.269	13.336	12.888	25.693	23.324	20.709	19.213	3.259	-0.728	-	8.382	
M0	M0	800.0	1.6	14.918	14.269	13.336	12.888	26.244	23.377	20.485	18.851	3.674	-0.993	-	8.386	
K5	M0	700.0	1.9	14.918	14.269	13.336	12.888	26.446	23.429	20.412	18.672	3.8	-0.968	-	8.387	
M0	K5	700.0	1.9	14.918	14.269	13.336	12.888	26.446	23.429	20.412	18.672	3.8	-0.968	-	8.387	
M0	M4	1200.0	1.1	14.918	14.269	13.336	12.888	25.457	23.248	20.799	19.461	3.126	-0.832	-	8.388	
M4	M0	1200.0	1.1	14.918	14.269	13.336	12.888	25.457	23.248	20.799	19.461	3.126	-0.832	-	8.388	
K5	M4	600.0	1.9	14.918	14.269	13.336	12.888	26.362	23.419	20.452	18.741	3.738	-0.945	-	8.391	
M4	K5	600.0	1.9	14.918	14.269	13.336	12.888	26.362	23.419	20.452	18.741	3.738	-0.945	-	8.391	
M0	M2	1300.0	1.1	14.918	14.269	13.336	12.888	25.521	23.268	20.785	19.427	3.162	-0.839	-	8.397	
M2	M0	1300.0	1.1	14.918	14.269	13.336	12.888	25.521	23.268	20.785	19.427	3.162	-0.839	-	8.397	
M0	M0	600.0	1.8	14.918	14.269	13.336	12.888	26.581	23.442	20.371	18.615	3.901	-1.064	-	8.4	
K5	M2	1300.0	1.4	14.918	14.269	13.336	12.888	25.603	23.306	20.763	19.338	3.2	-0.772	-	8.4	
M2	K5	1300.0	1.4	14.918	14.269	13.336	12.888	25.603	23.306	20.763	19.338	3.2	-0.772	-	8.4	
M0	M4	900.0	1.3	14.918	14.269	13.336	12.888	25.796	23.321	20.689	19.23	3.347	-0.891	-	8.406	
M4	M0	900.0	1.3	14.918	14.269	13.336	12.888	25.796	23.321	20.689	19.23	3.347	-0.891	-	8.406	
K5	M4	700.0	1.8	14.918	14.269	13.336	12.888	26.216	23.409	20.531	18.882	3.624	-0.91	-	8.407	
M4	K5	700.0	1.8	14.918	14.269	13.336	12.888	26.216	23.409	20.531	18.882	3.624	-0.91	-	8.407	
K2	M0	1200.0	1.8	14.918	14.269	13.336	12.888	25.934	23.386	20.648	19.07	3.408	-0.766	-	8.407	
M0	K2	1200.0	1.8	14.918	14.269	13.336	12.888	25.934	23.386	20.648	19.07	3.408	-0.766	-	8.407	
K5	M0	1100.0	1.6	14.918	14.269	13.336	12.888	25.984	23.374	20.626	19.07	3.46	-0.864	-	8.411	
M0	K5	1100.0	1.6	14.918	14.269	13.336	12.888	25.984	23.374	20.626	19.07	3.46	-0.864	-	8.411	
K2	M4	1300.0	1.7	14.918	14.269	13.336	12.888	25.702	23.347	20.749	19.267	3.248	-0.74	-	8.413	
M4	K2	1300.0	1.7	14.918	14.269	13.336	12.888	25.702	23.347	20.749	19.267	3.248	-0.74	-	8.413	
M0	M0	700.0	1.7	14.918	14.269	13.336	12.888	26.435	23.432	20.451	18.756	3.787	-1.028	-	8.416	
M2	M4	1000.0	0.7	14.918	14.269	13.336	12.888	25.354	23.229	20.872	19.625	3.056	-0.902	-	8.417	
M4	M2	1000.0	0.7	14.918	14.269	13.336	12.888	25.354	23.229	20.872	19.625	3.056	-0.902	-	8.417	
K2	M0	900.0	2.0	14.918	14.269	13.336	12.888	26.272	23.453	20.535	18.834	3.634	-0.835	-	8.421	
M0	K2	900.0	2.0	14.918	14.269	13.336	12.888	26.272	23.453	20.535	18.834	3.634	-0.835	-	8.421	
K5	M4	1100.0	1.5	14.918	14.269	13.336	12.888	25.753	23.35	20.743	19.277	3.287	-0.812	-	8.428	
M4	K5	1100.0	1.5	14.918	14.269	13.336	12.888	25.753	23.35	20.743	19.277	3.287	-0.812	-	8.428	
M0	M0	1100.0	1.4	14.918	14.269	13.336	12.888	25.973	23.376	20.664	19.152	3.449	-0.927	-	8.438	
K5	K5	1000.0	1.8	14.918	14.269	13.336	12.888	26.241	23.439	20.568	18.925	3.62	-0.915	-	8.441	
M2	M2	1000.0	0.9	14.918	14.269	13.336	12.888	25.664	23.302	20.781	19.425	3.253	-0.952	-	8.441	
K2	K5	1000.0	2.0	14.918	14.269	13.336	12.888	26.309	23.473	20.555	18.859	3.649	-0.863	-	8.446	
K5	K2	1000.0	2.0	14.918	14.269	13.336	12.888	26.309	23.473	20.555	18.859	3.649	-0.863	-	8.446	
K2	K2	1200.0	2.0	14.918	14.269	13.336	12.888	26.222	23.463	20.599	18.936	3.584	-0.844	-	8.452	
K2	M2	1000.0	1.9	14.918	14.269	13.336	12.888	26.087	23.448	20.653	19.033	3.485	-0.793	-	8.452	
M2	K2	1000.0	1.9	14.918	14.269	13.336	12.888	26.087	23.448	20.653	19.033	3.485	-0.793	-	8.452	
K5	M0	1300.0	1.5	14.918	14.269	13.336	12.888	25.865	23.389	20.732	19.237	3.348	-0.832	-	8.453	
M0	K5	1300.0	1.5	14.918	14.269	13.336	12.888	25.865	23.389	20.732	19.237	3.348	-0.832	-	8.453	
M0	M2	1000.0	1.3	14.918	14.269	13.336	12.888	25.914	23.395	20.73	19.251	3.384	-0.898	-	8.47	
M2	M0	1000.0	1.3	14.918	14.269	13.336	12.888	25.914	23.395	20.73	19.251	3.384	-0.898	-	8.47	
K5	M4	1300.0	1.4	14.918	14.269	13.336	12.888	25.634	23.365	20.849	19.444	3.176	-0.781	-	8.47	
M4	K5	1300.0	1.4	14.918	14.269	13.336	12.888	25.634	23.365	20.849	19.444	3.176	-0.781	-	8.47	
M0	M4	800.0	1.4	14.918	14.269	13.336	12.888	26.021	23.413	20.69	19.17	3.459	-0.922	-	8.471	
M4	M0	800.0	1.4	14.918	14.269	13.336	12.888	26.021	23.413	20.69	19.17	3.459	-0.922	-	8.471	
K5	M2	1000.0	1.6	14.918	14.269	13.336	12.888	25.997	23.432	20.707	19.16	3.423	-0.835	-	8.471	
M2	K5	1000.0	1.6	14.918	14.269	13.336	12.888	25.997	23.432	20.707	19.16	3.423	-0.835	-	8.471	
M0	M0	1300.0	1.3	14.918	14.269	13.336	12.888	25.854	23.391	20.77	19.319	3.338	-0.895	-	8.481	
K2	M4	1000.0	1.9	14.918	14.269	13.336	12.888	26.096	23.471	20.692	19.088	3.473	-0.806	-	8.484	
M4	K2	1000.0	1.9	14.918	14.269	13.336	12.888	26.096	23.471	20.692	19.088	3.473	-0.806	-	8.484	
M0	M4	600.0	1.6	14.918	14.269	13.336	12.888	26.359	23.481	20.578	18.936	3.684	-0.989	-	8.486	
M4	M0	600.0	1.6	14.918	14.269	13.336	12.888	26.359	23.481	20.578	18.936	3.684	-0.989	-	8.486	
M2	M4	1200.0	0.6	14.918	14.269	13.336	12.888	25.268	23.273	21.01	19.822	2.948	-0.877	-	8.49	
M4	M2	1200.0	0.6	14.918	14.269	13.336	12.888	25.268	23.273	21.01	19.822	2.948	-0.877	-	8.49	
M0	M4	700.0	1.5	14.918	14.269	13.336	12.888	26.213	23.47	20.656	19.075	3.571	-0.955	-	8.501	
M4	M0	700.0	1.5	14.918	14.269	13.336	12.888	26.213	23.47	20.656	19.075	3.571	-0.955	-	8.501	
M2	M4	900.0	0.8	14.918	14.269	13.336	12.888	25.607	23.35	20.902	19.594	3.165	-0.928	-	8.511	
M4	M2	900.0	0.8	14.918	14.269	13.336	12.888	25.607	23.35	20.902	19.594	3.165	-0.928	-	8.511	
M2	M2	1200.0	0.8	14.918	14.269	13.336	12.888	25.579	23.348	20.919	19.624	3.144	-0.924	-	8.515	
K5	K5	1200.0	1.7	14.918	14.269	13.336	12.888	26.156	23.489	20.708	19.126	3.507	-0.881	-	8.517	
M0	M4	1100.0	1.2	14.918	14.269	13.336	12.888	25.75	23.409	20.867	19.469	3.236	-0.861	-	8.521	
M4	M0	1100.0	1.2	14.918	14.269	13.336	12.888	25.75	23.409	20.867	19.469	3.236	-0.861	-	8.521	
K2	K5	1200.0	1.9	14.918	14.269	13.336	12.888	26.224	23.524	20.695	19.061	3.535	-0.828	-	8.523	
K5	K2	1200.0	1.9	14.918	14.269	13.336	12.888	26.224	23.524	20.695	19.061	3.535	-0.828	-	8.523	
K5	M0	1000.0	1.7	14.918	14.269	13.336	12.888	26.259	23.513	20.675	19.058	3.573	-0.898	-	8.524	
M0	K5	1000.0	1.7	14.918	14.269	13.336	12.888	26.259	23.513	20.675	19.058	3.573	-0.898	-	8.524	
K2	M2	1200.0	1.8	14.918	14.269	13.336	12.888	26.001	23.497	20.792	19.234	3.372	-0.76	-	8.529	
M2	K2	1200.0	1.8	14.918	14.269	13.336	12.888	26.001	23.497	20.792	19.234	3.372	-0.76	-	8.529	
K5	K5	900.0	1.9	14.918	14.269	13.336	12.888	26.494	23.555	20.595	18.89	3.733	-0.95	-	8.531	
M2	M2	900.0	1.0	14.918	14.269	13.336	12.888	25.917	23.422	20.81	19.394	3.363	-0.981	-	8.533	
K2	M0	1100.0	1.9	14.918	14.269	13.336	12.888	26.226	23.543	20.715	19.076	3.521	-0.8	-	8.537	
M0	K2	1100.0	1.9	14.918	14.269	13.336	12.888	26.226	23.543	20.715	19.076	3.521	-0.8	-	8.537	
K5	M4	1000.0	1.6	14.918	14.269	13.336	12.888	26.027	23.491	20.793	19.266	3.399	-0.843	-	8.542	
M4	K5	1000.0	1.6	14.918	14.269	13.336	12.888	26.027	23.491	20.793	19.266	3.399	-0.843	-	8.542	
K2	M2	900.0	2.0	14.918	14.269	13.336	12.888	26.34	23.565	20.68	18.999	3.598	-0.828	-	8.543	
M2	K2	900.0	2.0	14.918	14.269	13.336	12.888	26.34	23.565	20.68	18.999	3.598	-0.828	-	8.543	
M0	M2	1200.0	1.2	14.918	14.269	13.336	12.888	25.829	23.443	20.869	19.45	3.273	-0.868	-	8.545	
M2	M0	1200.0	1.2	14.918	14.269	13.336	12.888	25.829	23.443	20.869	19.45	3.273	-0.868	-	8.545	
K5	M2	1200.0	1.5	14.918	14.269	13.336	12.888	25.911	23.48	20.846	19.36	3.311	-0.803	-	8.547	
M2	K5	1200.0	1.5	14.918	14.269	13.336	12.888	25.911	23.48	20.846	19.36	3.311	-0.803	-	8.547	
M0	M0	1000.0	1.5	14.918	14.269	13.336	12.888	26.247	23.515	20.713	19.141	3.561	-0.959	-	8.551	
K2	M4	1200.0	1.8	14.918	14.269	13.336	12.888	26.01	23.52	20.832	19.289	3.36	-0.772	-	8.56	
M4	K2	1200.0	1.8	14.918	14.269	13.336	12.888	26.01	23.52	20.832	19.289	3.36	-0.772	-	8.56	
M0	M2	900.0	1.4	14.918	14.269	13.336	12.888	26.167	23.514	20.758	19.218	3.496	-0.93	-	8.561	
M2	M0	900.0	1.4	14.918	14.269	13.336	12.888	26.167	23.514	20.758	19.218	3.496	-0.93	-	8.561	
K5	M2	900.0	1.7	14.918	14.269	13.336	12.888	26.25	23.549	20.734	19.126	3.535	-0.868	-	8.562	
M2	K5	900.0	1.7	14.918	14.269	13.336	12.888	26.25	23.549	20.734	19.126	3.535	-0.868	-	8.562	
M0	M4	1300.0	1.1	14.918	14.269	13.336	12.888	25.631	23.422	20.972	19.634	3.126	-0.832	-	8.562	
M4	M0	1300.0	1.1	14.918	14.269	13.336	12.888	25.631	23.422	20.972	19.634	3.126	-0.832	-	8.562	
K2	M4	900.0	2.0	14.918	14.269	13.336	12.888	26.349	23.587	20.72	19.053	3.586	-0.84	-	8.575	
M4	K2	900.0	2.0	14.918	14.269	13.336	12.888	26.349	23.587	20.72	19.053	3.586	-0.84	-	8.575	
M2	M4	800.0	0.9	14.918	14.269	13.336	12.888	25.832	23.444	20.904	19.536	3.275	-0.956	-	8.576	
M4	M2	800.0	0.9	14.918	14.269	13.336	12.888	25.832	23.444	20.904	19.536	3.275	-0.956	-	8.576	
K2	M0	1300.0	1.8	14.918	14.269	13.336	12.888	26.107	23.56	20.822	19.244	3.408	-0.766	-	8.58	
M0	K2	1300.0	1.8	14.918	14.269	13.336	12.888	26.107	23.56	20.822	19.244	3.408	-0.766	-	8.58	
M2	M4	600.0	1.1	14.918	14.269	13.336	12.888	26.17	23.516	20.794	19.306	3.496	-1.016	-	8.594	
M4	M2	600.0	1.1	14.918	14.269	13.336	12.888	26.17	23.516	20.794	19.306	3.496	-1.016	-	8.594	
K5	K5	800.0	2.0	14.918	14.269	13.336	12.888	26.719	23.644	20.595	18.828	3.847	-0.987	-	8.594	
M2	M2	800.0	1.1	14.918	14.269	13.336	12.888	26.142	23.515	20.811	19.335	3.474	-1.011	-	8.598	
K5	M0	1200.0	1.6	14.918	14.269	13.336	12.888	26.173	23.563	20.815	19.259	3.46	-0.864	-	8.6	
M0	K5	1200.0	1.6	14.918	14.269	13.336	12.888	26.173	23.563	20.815	19.259	3.46	-0.864	-	8.6	
M4	M4	600.0	0.6	14.918	14.269	13.336	12.888	25.651	23.42	21.009	19.742	3.145	-0.973	-	8.603	
M2	M4	700.0	1.0	14.918	14.269	13.336	12.888	26.023	23.503	20.871	19.444	3.385	-0.985	-	8.608	
M4	M2	700.0	1.0	14.918	14.269	13.336	12.888	26.023	23.503	20.871	19.444	3.385	-0.985	-	8.608	
M2	M2	600.0	1.3	14.918	14.269	13.336	12.888	26.479	23.584	20.7	19.102	3.698	-1.076	-	8.613	
K5	M0	900.0	1.8	14.918	14.269	13.336	12.888	26.511	23.63	20.702	19.024	3.686	-0.932	-	8.614	
M0	K5	900.0	1.8	14.918	14.269	13.336	12.888	26.511	23.63	20.702	19.024	3.686	-0.932	-	8.614	
M4	M4	700.0	0.5	14.918	14.269	13.336	12.888	25.505	23.403	21.085	19.878	3.036	-0.948	-	8.615	
K5	M4	1200.0	1.5	14.918	14.269	13.336	12.888	25.942	23.539	20.932	19.466	3.287	-0.812	-	8.617	
M4	K5	1200.0	1.5	14.918	14.269	13.336	12.888	25.942	23.539	20.932	19.466	3.287	-0.812	-	8.617	
M2	M4	1100.0	0.7	14.918	14.269	13.336	12.888	25.561	23.436	21.079	19.832	3.056	-0.902	-	8.624	
M4	M2	1100.0	0.7	14.918	14.269	13.336	12.888	25.561	23.436	21.079	19.832	3.056	-0.902	-	8.624	
M0	M2	800.0	1.5	14.918	14.269	13.336	12.888	26.392	23.605	20.759	19.157	3.608	-0.963	-	8.626	
M2	M0	800.0	1.5	14.918	14.269	13.336	12.888	26.392	23.605	20.759	19.157	3.608	-0.963	-	8.626	
K5	M2	800.0	1.8	14.918	14.269	13.336	12.888	26.475	23.639	20.734	19.065	3.648	-0.902	-	8.626	
M2	K5	800.0	1.8	14.918	14.269	13.336	12.888	26.475	23.639	20.734	19.065	3.648	-0.902	-	8.626	
K2	K2	1300.0	2.0	14.918	14.269	13.336	12.888	26.396	23.637	20.772	19.11	3.584	-0.844	-	8.626	
M0	M0	1200.0	1.4	14.918	14.269	13.336	12.888	26.162	23.565	20.853	19.341	3.449	-0.927	-	8.627	
M2	M2	700.0	1.2	14.918	14.269	13.336	12.888	26.333	23.572	20.778	19.241	3.586	-1.043	-	8.628	
K5	M4	900.0	1.7	14.918	14.269	13.336	12.888	26.28	23.608	20.821	19.233	3.511	-0.876	-	8.633	
M4	K5	900.0	1.7	14.918	14.269	13.336	12.888	26.28	23.608	20.821	19.233	3.511	-0.876	-	8.633	
M0	M4	1000.0	1.3	14.918	14.269	13.336	12.888	26.025	23.55	20.918	19.458	3.347	-0.891	-	8.635	
M4	M0	1000.0	1.3	14.918	14.269	13.336	12.888	26.025	23.55	20.918	19.458	3.347	-0.891	-	8.635	
K5	M2	600.0	2.0	14.918	14.269	13.336	12.888	26.813	23.704	20.62	18.828	3.876	-0.974	-	8.638	
M2	K5	600.0	2.0	14.918	14.269	13.336	12.888	26.813	23.704	20.62	18.828	3.876	-0.974	-	8.638	
M0	M2	600.0	1.7	14.918	14.269	13.336	12.888	26.729	23.671	20.645	18.922	3.834	-1.032	-	8.639	
M2	M0	600.0	1.7	14.918	14.269	13.336	12.888	26.729	23.671	20.645	18.922	3.834	-1.032	-	8.639	
M0	M0	900.0	1.6	14.918	14.269	13.336	12.888	26.499	23.633	20.741	19.107	3.674	-0.993	-	8.642	
K5	K5	1100.0	1.8	14.918	14.269	13.336	12.888	26.448	23.646	20.775	19.132	3.62	-0.915	-	8.647	
M2	M2	1100.0	0.9	14.918	14.269	13.336	12.888	25.871	23.509	20.988	19.632	3.253	-0.952	-	8.648	
K2	M0	1000.0	2.0	14.918	14.269	13.336	12.888	26.501	23.682	20.764	19.063	3.634	-0.835	-	8.65	
M0	K2	1000.0	2.0	14.918	14.269	13.336	12.888	26.501	23.682	20.764	19.063	3.634	-0.835	-	8.65	
K2	K5	1100.0	2.0	14.918	14.269	13.336	12.888	26.516	23.68	20.762	19.066	3.649	-0.863	-	8.653	
K5	K2	1100.0	2.0	14.918	14.269	13.336	12.888	26.516	23.68	20.762	19.066	3.649	-0.863	-	8.653	
K5	M2	700.0	1.9	14.918	14.269	13.336	12.888	26.666	23.694	20.7	18.969	3.762	-0.937	-	8.655	
M2	K5	700.0	1.9	14.918	14.269	13.336	12.888	26.666	23.694	20.7	18.969	3.762	-0.937	-	8.655	
M0	M2	700.0	1.6	14.918	14.269	13.336	12.888	26.583	23.66	20.725	19.062	3.721	-0.997	-	8.655	
M2	M0	700.0	1.6	14.918	14.269	13.336	12.888	26.583	23.66	20.725	19.062	3.721	-0.997	-	8.655	
K2	M2	1100.0	1.9	14.918	14.269	13.336	12.888	26.294	23.655	20.86	19.24	3.485	-0.793	-	8.659	
M2	K2	1100.0	1.9	14.918	14.269	13.336	12.888	26.294	23.655	20.86	19.24	3.485	-0.793	-	8.659	
M2	M4	1300.0	0.6	14.918	14.269	13.336	12.888	25.442	23.447	21.183	19.996	2.948	-0.877	-	8.664	
M4	M2	1300.0	0.6	14.918	14.269	13.336	12.888	25.442	23.447	21.183	19.996	2.948	-0.877	-	8.664	
M0	M2	1100.0	1.3	14.918	14.269	13.336	12.888	26.121	23.602	20.937	19.458	3.384	-0.898	-	8.677	
M2	M0	1100.0	1.3	14.918	14.269	13.336	12.888	26.121	23.602	20.937	19.458	3.384	-0.898	-	8.677	
K5	M0	800.0	1.9	14.918	14.269	13.336	12.888	26.736	23.719	20.702	18.962	3.8	-0.968	-	8.677	
M0	K5	800.0	1.9	14.918	14.269	13.336	12.888	26.736	23.719	20.702	18.962	3.8	-0.968	-	8.677	
K5	M2	1100.0	1.6	14.918	14.269	13.336	12.888	26.204	23.639	20.914	19.367	3.423	-0.835	-	8.678	
M2	K5	1100.0	1.6	14.918	14.269	13.336	12.888	26.204	23.639	20.914	19.367	3.423	-0.835	-	8.678	
M2	M2	1300.0	0.8	14.918	14.269	13.336	12.888	25.753	23.522	21.093	19.797	3.144	-0.924	-	8.689	
K5	K5	1300.0	1.7	14.918	14.269	13.336	12.888	26.329	23.663	20.882	19.3	3.507	-0.881	-	8.691	
K2	M4	1100.0	1.9	14.918	14.269	13.336	12.888	26.303	23.678	20.899	19.295	3.473	-0.806	-	8.691	
M4	K2	1100.0	1.9	14.918	14.269	13.336	12.888	26.303	23.678	20.899	19.295	3.473	-0.806	-	8.691	
K5	M4	800.0	1.8	14.918	14.269	13.336	12.888	26.506	23.699	20.821	19.172	3.624	-0.91	-	8.696	
M4	K5	800.0	1.8	14.918	14.269	13.336	12.888	26.506	23.699	20.821	19.172	3.624	-0.91	-	8.696	
K2	K5	1300.0	1.9	14.918	14.269	13.336	12.888	26.398	23.697	20.869	19.234	3.535	-0.828	-	8.697	
K5	K2	1300.0	1.9	14.918	14.269	13.336	12.888	26.398	23.697	20.869	19.234	3.535	-0.828	-	8.697	
K2	M2	1300.0	1.8	14.918	14.269	13.336	12.888	26.175	23.671	20.966	19.408	3.372	-0.76	-	8.702	
M2	K2	1300.0	1.8	14.918	14.269	13.336	12.888	26.175	23.671	20.966	19.408	3.372	-0.76	-	8.702	
K5	M0	700.0	2.0	14.918	14.269	13.336	12.888	26.927	23.773	20.667	18.866	3.914	-1.005	-	8.706	
M0	K5	700.0	2.0	14.918	14.269	13.336	12.888	26.927	23.773	20.667	18.866	3.914	-1.005	-	8.706	
M0	M0	800.0	1.7	14.918	14.269	13.336	12.888	26.725	23.722	20.74	19.046	3.787	-1.028	-	8.706	
K5	M4	600.0	2.0	14.918	14.269	13.336	12.888	26.843	23.763	20.707	18.935	3.852	-0.982	-	8.709	
M4	K5	600.0	2.0	14.918	14.269	13.336	12.888	26.843	23.763	20.707	18.935	3.852	-0.982	-	8.709	
M0	M4	1200.0	1.2	14.918	14.269	13.336	12.888	25.939	23.598	21.056	19.658	3.236	-0.861	-	8.71	
