wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
F5	F5	700.0	0.5	14.918	14.269	13.336	12.888	14.628	14.327	13.197	12.621	1.536	-0.309	-	0.188	
A0	M0	1300.0	0.7	14.918	14.269	13.336	12.888	14.319	14.292	13.307	12.784	1.307	-0.131	-	0.189	
M0	A0	1300.0	0.7	14.918	14.269	13.336	12.888	14.319	14.292	13.307	12.784	1.307	-0.131	-	0.189	
A0	G0	900.0	1.0	14.918	14.269	13.336	12.888	14.963	14.555	13.255	12.538	1.625	-0.143	-	0.19	
G0	A0	900.0	1.0	14.918	14.269	13.336	12.888	14.963	14.555	13.255	12.538	1.625	-0.143	-	0.19	
A0	K5	1300.0	0.7	14.918	14.269	13.336	12.888	14.318	14.291	13.304	12.779	1.308	-0.129	-	0.19	
K5	A0	1300.0	0.7	14.918	14.269	13.336	12.888	14.318	14.291	13.304	12.779	1.308	-0.129	-	0.19	
A0	K2	1300.0	0.7	14.918	14.269	13.336	12.888	14.317	14.287	13.297	12.771	1.31	-0.128	-	0.194	
K2	A0	1300.0	0.7	14.918	14.269	13.336	12.888	14.317	14.287	13.297	12.771	1.31	-0.128	-	0.194	
B8	G0	1200.0	1.1	14.918	14.269	13.336	12.888	15.025	14.673	13.392	12.674	1.578	-0.084	-	0.195	
G0	B8	1200.0	1.1	14.918	14.269	13.336	12.888	15.025	14.673	13.392	12.674	1.578	-0.084	-	0.195	
F0	K5	700.0	0.6	14.918	14.269	13.336	12.888	14.948	14.694	13.571	12.985	1.497	-0.24	-	0.197	
K5	F0	700.0	0.6	14.918	14.269	13.336	12.888	14.948	14.694	13.571	12.985	1.497	-0.24	-	0.197	
B8	M4	1100.0	1.1	14.918	14.269	13.336	12.888	14.841	14.497	13.225	12.515	1.572	-0.09	-	0.197	
M4	B8	1100.0	1.1	14.918	14.269	13.336	12.888	14.841	14.497	13.225	12.515	1.572	-0.09	-	0.197	
B8	M2	1100.0	1.1	14.918	14.269	13.336	12.888	14.841	14.497	13.225	12.514	1.572	-0.09	-	0.197	
M2	B8	1100.0	1.1	14.918	14.269	13.336	12.888	14.841	14.497	13.225	12.514	1.572	-0.09	-	0.197	
B8	K2	1200.0	1.1	14.918	14.269	13.336	12.888	15.029	14.683	13.408	12.695	1.574	-0.087	-	0.198	
K2	B8	1200.0	1.1	14.918	14.269	13.336	12.888	15.029	14.683	13.408	12.695	1.574	-0.087	-	0.198	
F0	K2	600.0	0.7	14.918	14.269	13.336	12.888	15.081	14.693	13.461	12.809	1.608	-0.248	-	0.198	
K2	F0	600.0	0.7	14.918	14.269	13.336	12.888	15.081	14.693	13.461	12.809	1.608	-0.248	-	0.198	
B8	M0	1100.0	1.1	14.918	14.269	13.336	12.888	14.841	14.497	13.224	12.513	1.572	-0.089	-	0.198	
M0	B8	1100.0	1.1	14.918	14.269	13.336	12.888	14.841	14.497	13.224	12.513	1.572	-0.089	-	0.198	
B8	M4	1200.0	1.1	14.918	14.269	13.336	12.888	15.03	14.686	13.414	12.704	1.572	-0.09	-	0.198	
M4	B8	1200.0	1.1	14.918	14.269	13.336	12.888	15.03	14.686	13.414	12.704	1.572	-0.09	-	0.198	
B8	M2	1200.0	1.1	14.918	14.269	13.336	12.888	15.03	14.686	13.414	12.703	1.572	-0.09	-	0.198	
M2	B8	1200.0	1.1	14.918	14.269	13.336	12.888	15.03	14.686	13.414	12.703	1.572	-0.09	-	0.198	
B8	K5	1200.0	1.1	14.918	14.269	13.336	12.888	15.03	14.685	13.411	12.699	1.573	-0.088	-	0.198	
K5	B8	1200.0	1.1	14.918	14.269	13.336	12.888	15.03	14.685	13.411	12.699	1.573	-0.088	-	0.198	
B8	M0	1200.0	1.1	14.918	14.269	13.336	12.888	15.03	14.686	13.413	12.702	1.572	-0.089	-	0.198	
M0	B8	1200.0	1.1	14.918	14.269	13.336	12.888	15.03	14.686	13.413	12.702	1.572	-0.089	-	0.198	
B8	K5	1100.0	1.1	14.918	14.269	13.336	12.888	14.841	14.496	13.222	12.51	1.573	-0.088	-	0.199	
